INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,74,ADMISSION_MONTH_8,0.0109,0.0523,0.0437,1,0.8344
I00699,74,ADMISSION_MONTH_9,-0.0382,0.0513,0.5529,1,0.4571
I00699,74,ADMISSION_MONTH_10,0.0194,0.0483,0.1621,1,0.6873
I00699,74,ADMISSION_MONTH_11,-0.0902,0.05,3.2527,1,0.0713
I00699,74,ADMISSION_MONTH_12,0,,,0,
I00699,74,AGE_GROUP_1,0,,,0,
I00699,74,AGE_GROUP_2,-0.3784,0.2108,3.2213,1,0.0727
I00699,74,AGE_GROUP_3,0.8966,0.2518,12.6814,1,0.0004
I00699,74,AGE_GROUP_4,1.9308,0.2352,67.37,1,0
I00699,74,AGE_GROUP_5,1.4671,0.301,23.7623,1,0
I00699,74,AGE_GROUP_6,1.0338,0.3372,9.4021,1,0.0022
I00699,74,AGE_GROUP_7,1.0251,0.3115,10.8314,1,0.001
I00699,74,AGE_GROUP_8,0.8788,0.3009,8.5274,1,0.0035
I00699,74,AGE_GROUP_9,0.845,0.3011,7.8774,1,0.005
I00699,74,AGE_GROUP_10,1.5607,0.2198,50.4186,1,0
I00699,74,AGE_GROUP_11,2.1215,0.1757,145.8573,1,0
I00699,74,AGE_GROUP_12,2.3265,0.1545,226.8722,1,0
I00699,74,AGE_GROUP_13,2.8195,0.1369,424.4312,1,0
I00699,74,AGE_GROUP_14,3.0325,0.132,527.978,1,0
I00699,74,AGE_GROUP_15,3.2491,0.1285,639.4913,1,0
I00699,74,AGE_GROUP_16,3.4452,0.1251,758.4812,1,0
I00699,74,AGE_GROUP_17,3.6255,0.1235,862.318,1,0
I00699,74,AGE_GROUP_18,3.791,0.1228,952.6706,1,0
I00699,74,AGE_GROUP_19,4.0849,0.1223,1115.9629,1,0
I00699,74,AGE_GROUP_20,4.5072,0.1218,1368.6817,1,0
I00699,74,AGE_GROUP_21,0,,,0,
I00699,74,BIRTHWEIGHT_6,0,,,0,
I00699,74,CHARLSON_INDEX_1,0,,,0,
I00699,74,CHARLSON_INDEX_2,0.1547,0.0524,8.73,1,0.0031
I00699,74,CHARLSON_INDEX_3,1.1109,0.0376,873.7597,1,0
I00699,74,GENDER_1,0,,,0,
I00699,74,GENDER_2,-0.2119,0.0225,88.7359,1,0
I00699,74,GENDER_3,0,,,0,
I00699,74,Intercept,-7.1575,0.1195,3586.4972,1,0
I00699,74,YEAR_INDEX_1,0,,,0,
I00699,74,YEAR_INDEX_2,0.1236,0.0263,22.0399,1,0
I00699,74,YEAR_INDEX_3,0.1872,0.0282,43.9725,1,0
I00699,75,ADMIMETH_1,-0.9271,0.1067,75.4831,1,0
I00699,75,ADMIMETH_2,0,,,0,
I00699,75,ADMIMETH_3,0,,,0,
I00699,75,ADMISSION_MONTH_1,-0.1312,0.0335,15.3684,1,0.0001
I00699,75,ADMISSION_MONTH_2,-0.2378,0.0352,45.6691,1,0
I00699,75,ADMISSION_MONTH_3,-0.3157,0.0351,80.7328,1,0
I00699,75,ADMISSION_MONTH_4,-0.2457,0.0359,46.8479,1,0
I00699,75,ADMISSION_MONTH_5,-0.2986,0.0348,73.5348,1,0
I00699,75,ADMISSION_MONTH_6,-0.2878,0.0347,68.7005,1,0
I00699,75,ADMISSION_MONTH_7,-0.2427,0.0349,48.2765,1,0
I00699,75,ADMISSION_MONTH_8,-0.1771,0.0343,26.7037,1,0
I00699,75,ADMISSION_MONTH_9,-0.2645,0.0348,57.666,1,0
I00699,75,ADMISSION_MONTH_10,-0.2013,0.0329,37.3741,1,0
I00699,75,ADMISSION_MONTH_11,-0.1444,0.0329,19.2568,1,0
I00699,75,ADMISSION_MONTH_12,0,,,0,
I00699,75,AGE_GROUP_1,-11.8272,121.8634,0.0094,1,0.9227
I00699,75,AGE_GROUP_2,-11.7026,100.6363,0.0135,1,0.9074
I00699,75,AGE_GROUP_3,-2.4206,1.003,5.8245,1,0.0158
I00699,75,AGE_GROUP_4,-2.6201,1.0025,6.8315,1,0.009
I00699,75,AGE_GROUP_5,-2.7754,1.002,7.6719,1,0.0056
I00699,75,AGE_GROUP_6,-11.7435,76.8382,0.0234,1,0.8785
I00699,75,AGE_GROUP_7,-11.7247,67.1519,0.0305,1,0.8614
I00699,75,AGE_GROUP_8,-3.0654,0.7083,18.7288,1,0
I00699,75,AGE_GROUP_9,-1.9384,0.2905,44.5154,1,0
I00699,75,AGE_GROUP_10,-1.4624,0.1565,87.3689,1,0
I00699,75,AGE_GROUP_11,-1.3626,0.1066,163.4643,1,0
I00699,75,AGE_GROUP_12,-1.0801,0.0656,271.0387,1,0
I00699,75,AGE_GROUP_13,-0.8128,0.0453,321.3558,1,0
I00699,75,AGE_GROUP_14,-0.6094,0.0349,305.5753,1,0
I00699,75,AGE_GROUP_15,-0.3543,0.0286,153.7687,1,0
I00699,75,AGE_GROUP_16,-0.1563,0.0244,41.1646,1,0
I00699,75,AGE_GROUP_17,0,,,0,
I00699,75,AGE_GROUP_18,0.1333,0.024,30.9525,1,0
I00699,75,AGE_GROUP_19,0.3782,0.0263,207.1724,1,0
I00699,75,AGE_GROUP_20,0.6869,0.0314,477.5624,1,0
I00699,75,AGE_GROUP_21,0,,,0,
I00699,75,BIRTHWEIGHT_6,0,,,0,
I00699,75,CHARLSON_INDEX_1,0,,,0,
I00699,75,CHARLSON_INDEX_2,0.1497,0.0261,32.7917,1,0
I00699,75,CHARLSON_INDEX_3,0.6659,0.0202,1088.7559,1,0
I00699,75,GENDER_1,0.0999,0.0151,43.6584,1,0
I00699,75,GENDER_2,0,,,0,
I00699,75,GENDER_3,0,,,0,
I00699,75,Intercept,-2.8022,0.0323,7545.8666,1,0
I00699,75,YEAR_INDEX_1,0,,,0,
I00699,75,YEAR_INDEX_2,-0.0404,0.0175,5.3617,1,0.0206
I00699,75,YEAR_INDEX_3,-0.0626,0.0194,10.4117,1,0.0013
I00699,76,ADMIMETH_1,-0.0104,0.5071,0.0004,1,0.9837
I00699,76,ADMIMETH_2,0,,,0,
I00699,76,ADMIMETH_3,0,,,0,
I00699,76,ADMISSION_MONTH_1,0.2825,0.2314,1.4914,1,0.222
I00699,76,ADMISSION_MONTH_2,-0.0499,0.2563,0.0379,1,0.8457
I00699,76,ADMISSION_MONTH_3,0.2324,0.2329,0.9959,1,0.3183
I00699,76,ADMISSION_MONTH_4,0.1422,0.2482,0.3282,1,0.5667
I00699,76,ADMISSION_MONTH_5,-0.1007,0.2586,0.1516,1,0.697
I00699,76,ADMISSION_MONTH_6,0.0842,0.2425,0.1206,1,0.7284
I00699,76,ADMISSION_MONTH_7,0.3744,0.237,2.4957,1,0.1142
I00699,76,ADMISSION_MONTH_8,0.2548,0.2428,1.1015,1,0.2939
I00699,76,ADMISSION_MONTH_9,0,,,0,
I00699,76,ADMISSION_MONTH_10,0.2768,0.2231,1.5399,1,0.2146
I00699,76,ADMISSION_MONTH_11,0.3484,0.2217,2.4687,1,0.1161
I00699,76,ADMISSION_MONTH_12,0.56,0.2095,7.1429,1,0.0075
I00699,76,AGE_GROUP_1,-11.1735,2447.8373,0,1,0.9964
I00699,76,AGE_GROUP_2,-11.4084,216.6041,0.0028,1,0.958
I00699,76,AGE_GROUP_3,0,,,0,
I00699,76,AGE_GROUP_4,0.7141,0.7073,1.0194,1,0.3127
I00699,76,AGE_GROUP_5,1.9503,0.6131,10.1199,1,0.0015
I00699,76,AGE_GROUP_6,1.6411,0.6279,6.8316,1,0.009
I00699,76,AGE_GROUP_7,1.5313,0.628,5.9458,1,0.0148
I00699,76,AGE_GROUP_8,0.2235,0.867,0.0665,1,0.7966
I00699,76,AGE_GROUP_9,1.5786,0.6142,6.6057,1,0.0102
I00699,76,AGE_GROUP_10,1.8364,0.5862,9.815,1,0.0017
I00699,76,AGE_GROUP_11,2.3515,0.5532,18.0694,1,0
I00699,76,AGE_GROUP_12,1.9357,0.5706,11.5064,1,0.0007
I00699,76,AGE_GROUP_13,2.3548,0.5482,18.4521,1,0
I00699,76,AGE_GROUP_14,2.9494,0.5342,30.4795,1,0
I00699,76,AGE_GROUP_15,2.6932,0.55,23.9777,1,0
I00699,76,AGE_GROUP_16,3.1765,0.5344,35.3251,1,0
I00699,76,AGE_GROUP_17,3.7763,0.5248,51.7813,1,0
I00699,76,AGE_GROUP_18,3.6228,0.5294,46.8244,1,0
I00699,76,AGE_GROUP_19,4.4329,0.5226,71.9468,1,0
I00699,76,AGE_GROUP_20,4.9856,0.5234,90.7363,1,0
I00699,76,AGE_GROUP_21,0,,,0,
I00699,76,BIRTHWEIGHT_6,0,,,0,
I00699,76,CHARLSON_INDEX_1,0,,,0,
I00699,76,CHARLSON_INDEX_2,0.2558,0.1611,2.5224,1,0.1122
I00699,76,CHARLSON_INDEX_3,1.169,0.1238,89.1695,1,0
I00699,76,GENDER_1,0.2924,0.0958,9.3226,1,0.0023
I00699,76,GENDER_2,0,,,0,
I00699,76,GENDER_3,0,,,0,
I00699,76,Intercept,-8.9496,0.5319,283.0693,1,0
I00699,76,YEAR_INDEX_1,0,,,0,
I00699,76,YEAR_INDEX_2,0.0809,0.1047,0.5968,1,0.4398
I00699,76,YEAR_INDEX_3,0.2153,0.1164,3.4234,1,0.0643
I00699,77,ADMIMETH_1,0.0659,0.1237,0.2837,1,0.5943
I00699,77,ADMIMETH_2,0,,,0,
I00699,77,ADMIMETH_3,0,,,0,
I00699,77,ADMISSION_MONTH_1,0.1017,0.0402,6.3993,1,0.0114
I00699,77,ADMISSION_MONTH_2,-0.0565,0.0405,1.9494,1,0.1627
I00699,77,ADMISSION_MONTH_3,-0.0138,0.0396,0.1211,1,0.7279
I00699,77,ADMISSION_MONTH_4,-0.0615,0.0412,2.2201,1,0.1362
I00699,77,ADMISSION_MONTH_5,-0.1277,0.0396,10.4107,1,0.0013
I00699,77,ADMISSION_MONTH_6,-0.1243,0.0398,9.7616,1,0.0018
I00699,77,ADMISSION_MONTH_7,-0.0949,0.0392,5.8652,1,0.0154
I00699,77,ADMISSION_MONTH_8,-0.0724,0.0386,3.5085,1,0.0611
I00699,77,ADMISSION_MONTH_9,-0.0339,0.0386,0.7712,1,0.3799
I00699,77,ADMISSION_MONTH_10,0,,,0,
I00699,77,ADMISSION_MONTH_11,0.0232,0.0391,0.3508,1,0.5537
I00699,77,ADMISSION_MONTH_12,0.1219,0.0386,9.9863,1,0.0016
I00699,77,AGE_GROUP_1,-3.3395,0.3839,75.6527,1,0
I00699,77,AGE_GROUP_2,-4.4549,0.5029,78.4692,1,0
I00699,77,AGE_GROUP_3,-3.9556,0.5045,61.4812,1,0
I00699,77,AGE_GROUP_4,-3.7693,0.505,55.717,1,0
I00699,77,AGE_GROUP_5,-2.9004,0.2421,143.535,1,0
I00699,77,AGE_GROUP_6,-2.4271,0.1674,210.1224,1,0
I00699,77,AGE_GROUP_7,-2.365,0.1658,203.4344,1,0
I00699,77,AGE_GROUP_8,-2.1883,0.1428,234.7195,1,0
I00699,77,AGE_GROUP_9,-2.019,0.1223,272.5691,1,0
I00699,77,AGE_GROUP_10,-1.8208,0.1016,321.039,1,0
I00699,77,AGE_GROUP_11,-1.7507,0.0834,440.5354,1,0
I00699,77,AGE_GROUP_12,-1.4169,0.0598,562.2216,1,0
I00699,77,AGE_GROUP_13,-1.2242,0.0481,647.7048,1,0
I00699,77,AGE_GROUP_14,-1.0236,0.0428,572.5169,1,0
I00699,77,AGE_GROUP_15,-0.8983,0.0377,568.4037,1,0
I00699,77,AGE_GROUP_16,-0.6377,0.032,398.1297,1,0
I00699,77,AGE_GROUP_17,-0.4792,0.0292,269.9098,1,0
I00699,77,AGE_GROUP_18,-0.3198,0.0276,134.2589,1,0
I00699,77,AGE_GROUP_19,-0.1443,0.0271,28.2876,1,0
I00699,77,AGE_GROUP_20,0,,,0,
I00699,77,AGE_GROUP_21,0,,,0,
I00699,77,BIRTHWEIGHT_6,0,,,0,
I00699,77,CHARLSON_INDEX_1,0,,,0,
I00699,77,CHARLSON_INDEX_2,-0.0131,0.0337,0.1507,1,0.6979
I00699,77,CHARLSON_INDEX_3,0.4519,0.0239,356.246,1,0
I00699,77,GENDER_1,0,,,0,
I00699,77,GENDER_2,-0.1175,0.0169,48.0625,1,0
I00699,77,GENDER_3,0,,,0,
I00699,77,Intercept,-0.2206,0.0411,28.7697,1,0
I00699,77,YEAR_INDEX_1,0,,,0,
I00699,77,YEAR_INDEX_2,-0.0262,0.0194,1.8267,1,0.1765
I00699,77,YEAR_INDEX_3,-0.0151,0.0213,0.5016,1,0.4788
I00699,78,ADMIMETH_1,-1.1999,0.0725,274.2735,1,0
I00699,78,ADMIMETH_2,0,,,0,
I00699,78,ADMIMETH_3,0,,,0,
I00699,78,ADMISSION_MONTH_1,0.0907,0.07,1.6787,1,0.1951
I00699,78,ADMISSION_MONTH_2,0.0863,0.0702,1.5095,1,0.2192
I00699,78,ADMISSION_MONTH_3,0,,,0,
I00699,78,ADMISSION_MONTH_4,0.1731,0.0697,6.1784,1,0.0129
I00699,78,ADMISSION_MONTH_5,-0.0008,0.0694,0.0001,1,0.9909
I00699,78,ADMISSION_MONTH_6,0.0614,0.0689,0.7956,1,0.3724
I00699,78,ADMISSION_MONTH_7,0.102,0.0678,2.2647,1,0.1324
I00699,78,ADMISSION_MONTH_8,0.1003,0.0683,2.1553,1,0.1421
I00699,78,ADMISSION_MONTH_9,0.1811,0.0675,7.1933,1,0.0073
I00699,78,ADMISSION_MONTH_10,0.1017,0.0678,2.2499,1,0.1336
I00699,78,ADMISSION_MONTH_11,0.0707,0.0691,1.0474,1,0.3061
I00699,78,ADMISSION_MONTH_12,0.1502,0.0688,4.7716,1,0.0289
I00699,78,AGE_GROUP_1,-0.7426,0.7175,1.0713,1,0.3007
I00699,78,AGE_GROUP_2,-12.383,115.0522,0.0116,1,0.9143
I00699,78,AGE_GROUP_3,-2.3013,1.0037,5.257,1,0.0219
I00699,78,AGE_GROUP_4,-2.8192,1.0027,7.9045,1,0.0049
I00699,78,AGE_GROUP_5,-3.3525,0.5795,33.4663,1,0
I00699,78,AGE_GROUP_6,-3.0546,0.4499,46.107,1,0
I00699,78,AGE_GROUP_7,-2.0685,0.2545,66.0726,1,0
I00699,78,AGE_GROUP_8,-2.4673,0.2924,71.2147,1,0
I00699,78,AGE_GROUP_9,-1.8446,0.2049,81.0111,1,0
I00699,78,AGE_GROUP_10,-1.2549,0.148,71.9273,1,0
I00699,78,AGE_GROUP_11,-1.1165,0.1235,81.729,1,0
I00699,78,AGE_GROUP_12,-0.5689,0.0835,46.3937,1,0
I00699,78,AGE_GROUP_13,-0.4709,0.0725,42.2008,1,0
I00699,78,AGE_GROUP_14,-0.2909,0.0636,20.9119,1,0
I00699,78,AGE_GROUP_15,-0.1515,0.0572,7.0246,1,0.008
I00699,78,AGE_GROUP_16,-0.0181,0.0509,0.1268,1,0.7218
I00699,78,AGE_GROUP_17,0,,,0,
I00699,78,AGE_GROUP_18,0.2497,0.049,25.9686,1,0
I00699,78,AGE_GROUP_19,0.5265,0.0501,110.235,1,0
I00699,78,AGE_GROUP_20,0.8343,0.0543,236.1151,1,0
I00699,78,AGE_GROUP_21,0,,,0,
I00699,78,BIRTHWEIGHT_6,0,,,0,
I00699,78,CHARLSON_INDEX_1,0,,,0,
I00699,78,CHARLSON_INDEX_2,0.3417,0.0589,33.6645,1,0
I00699,78,CHARLSON_INDEX_3,1.3636,0.0451,915.5369,1,0
I00699,78,GENDER_1,0,,,0,
I00699,78,GENDER_2,0.1245,0.0281,19.5712,1,0
I00699,78,GENDER_3,0,,,0,
I00699,78,Intercept,-3.4576,0.0745,2153.1999,1,0
I00699,78,YEAR_INDEX_1,0,,,0,
I00699,78,YEAR_INDEX_2,-0.0038,0.0337,0.0126,1,0.9106
I00699,78,YEAR_INDEX_3,0.0334,0.0345,0.9358,1,0.3334
I00699,79,ADMIMETH_1,-0.9931,0.1213,67.0491,1,0
I00699,79,ADMIMETH_2,0,,,0,
I00699,79,ADMIMETH_3,0,,,0,
I00699,79,ADMISSION_MONTH_1,-0.0416,0.0685,0.3698,1,0.5431
I00699,79,ADMISSION_MONTH_2,-0.0866,0.0699,1.5341,1,0.2155
I00699,79,ADMISSION_MONTH_3,-0.0616,0.0684,0.8111,1,0.3678
I00699,79,ADMISSION_MONTH_4,-0.1505,0.0716,4.415,1,0.0356
I00699,79,ADMISSION_MONTH_5,-0.3504,0.0706,24.6499,1,0
I00699,79,ADMISSION_MONTH_6,-0.2355,0.0686,11.7999,1,0.0006
I00699,79,ADMISSION_MONTH_7,-0.1352,0.0675,4.0061,1,0.0453
I00699,79,ADMISSION_MONTH_8,-0.1614,0.0696,5.3776,1,0.0204
I00699,79,ADMISSION_MONTH_9,-0.1334,0.069,3.7358,1,0.0533
I00699,79,ADMISSION_MONTH_10,-0.1507,0.0682,4.8877,1,0.027
I00699,79,ADMISSION_MONTH_11,0.023,0.0681,0.1146,1,0.7349
I00699,79,ADMISSION_MONTH_12,0,,,0,
I00699,79,AGE_GROUP_1,-1.3656,0.2829,23.2971,1,0
I00699,79,AGE_GROUP_2,-1.8125,0.2998,36.5637,1,0
I00699,79,AGE_GROUP_3,-1.6788,0.3654,21.1066,1,0
I00699,79,AGE_GROUP_4,-0.8135,0.3091,6.9259,1,0.0085
I00699,79,AGE_GROUP_5,-1.1646,0.3052,14.5628,1,0.0001
I00699,79,AGE_GROUP_6,-1.1413,0.3053,13.9705,1,0.0002
I00699,79,AGE_GROUP_7,-1.5237,0.2891,27.7826,1,0
I00699,79,AGE_GROUP_8,-1.1694,0.2019,33.5586,1,0
I00699,79,AGE_GROUP_9,-1.0836,0.1597,46.0364,1,0
I00699,79,AGE_GROUP_10,-0.9476,0.1358,48.6985,1,0
I00699,79,AGE_GROUP_11,-0.8431,0.1029,67.1572,1,0
I00699,79,AGE_GROUP_12,-0.7978,0.0831,92.1059,1,0
I00699,79,AGE_GROUP_13,-0.5995,0.0702,72.9345,1,0
I00699,79,AGE_GROUP_14,-0.3797,0.0617,37.834,1,0
I00699,79,AGE_GROUP_15,-0.183,0.0565,10.5052,1,0.0012
I00699,79,AGE_GROUP_16,0,,,0,
I00699,79,AGE_GROUP_17,0.2852,0.0506,31.8114,1,0
I00699,79,AGE_GROUP_18,0.4472,0.0531,70.8382,1,0
I00699,79,AGE_GROUP_19,0.7583,0.0589,166.018,1,0
I00699,79,AGE_GROUP_20,1.0008,0.0703,202.4365,1,0
I00699,79,AGE_GROUP_21,0,,,0,
I00699,79,BIRTHWEIGHT_6,0,,,0,
I00699,79,CHARLSON_INDEX_1,0,,,0,
I00699,79,CHARLSON_INDEX_2,-0.1372,0.0558,6.0529,1,0.0139
I00699,79,CHARLSON_INDEX_3,0.1837,0.0489,14.0904,1,0.0002
I00699,79,GENDER_1,0.2562,0.0296,74.7239,1,0
I00699,79,GENDER_2,0,,,0,
I00699,79,GENDER_3,0,,,0,
I00699,79,Intercept,-1.21,0.0752,258.8545,1,0
I00699,79,YEAR_INDEX_1,0,,,0,
I00699,79,YEAR_INDEX_2,-0.0333,0.0347,0.9213,1,0.3371
I00699,79,YEAR_INDEX_3,-0.069,0.0369,3.4999,1,0.0614
I00699,80,ADMIMETH_1,-1.3631,0.3925,12.0595,1,0.0005
I00699,80,ADMIMETH_2,0,,,0,
I00699,80,ADMIMETH_3,0,,,0,
I00699,80,ADMISSION_MONTH_1,0.0254,0.2321,0.012,1,0.9127
I00699,80,ADMISSION_MONTH_2,-0.0967,0.2255,0.1839,1,0.668
I00699,80,ADMISSION_MONTH_3,-0.0482,0.2215,0.0474,1,0.8276
I00699,80,ADMISSION_MONTH_4,-0.1082,0.2314,0.2186,1,0.6401
I00699,80,ADMISSION_MONTH_5,-0.2776,0.2349,1.3964,1,0.2373
I00699,80,ADMISSION_MONTH_6,0.4252,0.2042,4.3343,1,0.0374
I00699,80,ADMISSION_MONTH_7,0.0814,0.214,0.1446,1,0.7037
I00699,80,ADMISSION_MONTH_8,0.0176,0.2158,0.0066,1,0.9351
I00699,80,ADMISSION_MONTH_9,0.354,0.2053,2.9736,1,0.0846
I00699,80,ADMISSION_MONTH_10,0.0529,0.2147,0.0606,1,0.8055
I00699,80,ADMISSION_MONTH_11,0,,,0,
I00699,80,ADMISSION_MONTH_12,0.232,0.2096,1.2256,1,0.2683
I00699,80,AGE_GROUP_1,-15.2627,2104.4154,0.0001,1,0.9942
I00699,80,AGE_GROUP_2,-15.0715,887.1535,0.0003,1,0.9864
I00699,80,AGE_GROUP_3,-14.9099,995.7204,0.0002,1,0.9881
I00699,80,AGE_GROUP_4,-15.0044,1308.1174,0.0001,1,0.9908
I00699,80,AGE_GROUP_5,-0.7332,0.7522,0.9503,1,0.3296
I00699,80,AGE_GROUP_6,-15.0349,813.863,0.0003,1,0.9853
I00699,80,AGE_GROUP_7,-15.0179,661.1594,0.0005,1,0.9819
I00699,80,AGE_GROUP_8,-1.8124,0.7287,6.1853,1,0.0129
I00699,80,AGE_GROUP_9,-1.6879,0.6,7.9142,1,0.0049
I00699,80,AGE_GROUP_10,-2.1,0.7255,8.3792,1,0.0038
I00699,80,AGE_GROUP_11,-0.9876,0.3468,8.1119,1,0.0044
I00699,80,AGE_GROUP_12,-0.7512,0.2718,7.639,1,0.0057
I00699,80,AGE_GROUP_13,-0.4569,0.2263,4.0757,1,0.0435
I00699,80,AGE_GROUP_14,-0.534,0.215,6.1657,1,0.013
I00699,80,AGE_GROUP_15,-0.2741,0.1814,2.2833,1,0.1308
I00699,80,AGE_GROUP_16,-0.1473,0.166,0.7877,1,0.3748
I00699,80,AGE_GROUP_17,0,,,0,
I00699,80,AGE_GROUP_18,0.4305,0.154,7.8171,1,0.0052
I00699,80,AGE_GROUP_19,0.8299,0.163,25.9327,1,0
I00699,80,AGE_GROUP_20,1.0233,0.1809,31.9976,1,0
I00699,80,AGE_GROUP_21,0,,,0,
I00699,80,BIRTHWEIGHT_6,0,,,0,
I00699,80,CHARLSON_INDEX_1,0,,,0,
I00699,80,CHARLSON_INDEX_2,-0.1111,0.1637,0.4606,1,0.4973
I00699,80,CHARLSON_INDEX_3,0.5342,0.1237,18.6655,1,0
I00699,80,GENDER_1,0,,,0,
I00699,80,GENDER_2,-0.2903,0.0921,9.9288,1,0.0016
I00699,80,GENDER_3,0,,,0,
I00699,80,Intercept,-1.8454,0.2225,68.7928,1,0
I00699,80,YEAR_INDEX_1,0,,,0,
I00699,80,YEAR_INDEX_2,0.2048,0.1061,3.7238,1,0.0536
I00699,80,YEAR_INDEX_3,-0.1049,0.1202,0.7604,1,0.3832
I00699,81,ADMIMETH_1,-2.2336,0.1131,390.0356,1,0
I00699,81,ADMIMETH_2,0,,,0,
I00699,81,ADMIMETH_3,0,,,0,
I00699,81,ADMISSION_MONTH_1,-0.1686,0.075,5.0601,1,0.0245
I00699,81,ADMISSION_MONTH_2,-0.008,0.0721,0.0124,1,0.9112
I00699,81,ADMISSION_MONTH_3,-0.2539,0.074,11.7728,1,0.0006
I00699,81,ADMISSION_MONTH_4,-0.1263,0.0746,2.8674,1,0.0904
I00699,81,ADMISSION_MONTH_5,-0.0033,0.0714,0.0021,1,0.9631
I00699,81,ADMISSION_MONTH_6,-0.0842,0.0735,1.3139,1,0.2517
I00699,81,ADMISSION_MONTH_7,-0.0855,0.0744,1.3208,1,0.2505
I00699,81,ADMISSION_MONTH_8,-0.0602,0.0741,0.6609,1,0.4163
I00699,81,ADMISSION_MONTH_9,-0.081,0.0737,1.2074,1,0.2718
I00699,81,ADMISSION_MONTH_10,-0.0508,0.0717,0.5013,1,0.4789
I00699,81,ADMISSION_MONTH_11,0,,,0,
I00699,81,ADMISSION_MONTH_12,-0.0664,0.0712,0.8682,1,0.3515
I00699,81,AGE_GROUP_1,-4.6182,0.4498,105.4275,1,0
I00699,81,AGE_GROUP_2,-4.7322,0.5021,88.814,1,0
I00699,81,AGE_GROUP_3,-4.1173,0.5792,50.5355,1,0
I00699,81,AGE_GROUP_4,-3.3634,0.4496,55.96,1,0
I00699,81,AGE_GROUP_5,-4.4984,0.7085,40.3155,1,0
I00699,81,AGE_GROUP_6,-3.4243,0.3562,92.4436,1,0
I00699,81,AGE_GROUP_7,-2.7007,0.2395,127.1607,1,0
I00699,81,AGE_GROUP_8,-3.1944,0.2918,119.8393,1,0
I00699,81,AGE_GROUP_9,-2.5831,0.2223,134.9762,1,0
I00699,81,AGE_GROUP_10,-2.6644,0.2222,143.8249,1,0
I00699,81,AGE_GROUP_11,-1.7486,0.141,153.8643,1,0
I00699,81,AGE_GROUP_12,-1.5108,0.1115,183.5764,1,0
I00699,81,AGE_GROUP_13,-1.1286,0.0868,168.9124,1,0
I00699,81,AGE_GROUP_14,-0.7467,0.0711,110.4477,1,0
I00699,81,AGE_GROUP_15,-0.3671,0.0604,36.9026,1,0
I00699,81,AGE_GROUP_16,-0.1128,0.0527,4.5903,1,0.0322
I00699,81,AGE_GROUP_17,0,,,0,
I00699,81,AGE_GROUP_18,0.2708,0.0493,30.1196,1,0
I00699,81,AGE_GROUP_19,0.4033,0.0534,57.1421,1,0
I00699,81,AGE_GROUP_20,0.5718,0.0642,79.356,1,0
I00699,81,AGE_GROUP_21,0,,,0,
I00699,81,BIRTHWEIGHT_6,0,,,0,
I00699,81,CHARLSON_INDEX_1,0,,,0,
I00699,81,CHARLSON_INDEX_2,0.2681,0.0476,31.7479,1,0
I00699,81,CHARLSON_INDEX_3,0.6136,0.0401,234.4556,1,0
I00699,81,GENDER_1,0,,,0,
I00699,81,GENDER_2,-0.3912,0.0313,155.8759,1,0
I00699,81,GENDER_3,0,,,0,
I00699,81,Intercept,-2.2594,0.0705,1028.4707,1,0
I00699,81,YEAR_INDEX_1,0,,,0,
I00699,81,YEAR_INDEX_2,-0.0137,0.0353,0.1508,1,0.6977
I00699,81,YEAR_INDEX_3,-0.1319,0.0392,11.3428,1,0.0008
I00699,82,ADMIMETH_1,-1.4666,0.1198,149.7757,1,0
I00699,82,ADMIMETH_2,0,,,0,
I00699,82,ADMIMETH_3,0,,,0,
I00699,82,ADMISSION_MONTH_1,-0.2963,0.0447,43.8542,1,0
I00699,82,ADMISSION_MONTH_2,-1.0381,0.0701,219.5512,1,0
I00699,82,ADMISSION_MONTH_3,-1.0083,0.0661,232.4258,1,0
I00699,82,ADMISSION_MONTH_4,-0.8778,0.0651,181.7278,1,0
I00699,82,ADMISSION_MONTH_5,-1.1041,0.0697,250.9189,1,0
I00699,82,ADMISSION_MONTH_6,-1.0646,0.071,224.6862,1,0
I00699,82,ADMISSION_MONTH_7,-1.027,0.0717,205.0444,1,0
I00699,82,ADMISSION_MONTH_8,-1.1086,0.0759,213.3611,1,0
I00699,82,ADMISSION_MONTH_9,-0.9507,0.0716,176.4961,1,0
I00699,82,ADMISSION_MONTH_10,-0.8731,0.0642,185.1343,1,0
I00699,82,ADMISSION_MONTH_11,-0.7037,0.0579,147.721,1,0
I00699,82,ADMISSION_MONTH_12,0,,,0,
I00699,82,AGE_GROUP_1,0.3604,0.3001,1.4415,1,0.2299
I00699,82,AGE_GROUP_2,0,,,0,
I00699,82,AGE_GROUP_3,-0.0528,0.3817,0.0191,1,0.89
I00699,82,AGE_GROUP_4,0.6719,0.3997,2.8257,1,0.0928
I00699,82,AGE_GROUP_5,0.1509,0.4213,0.1283,1,0.7202
I00699,82,AGE_GROUP_6,-0.0851,0.4486,0.0359,1,0.8496
I00699,82,AGE_GROUP_7,0.7836,0.3258,5.7846,1,0.0162
I00699,82,AGE_GROUP_8,0.634,0.3342,3.5999,1,0.0578
I00699,82,AGE_GROUP_9,1.1905,0.2872,17.186,1,0
